"CountryName","Region","WorldRank","HappinessScore","Economy","Family","Health","Freedom","Trust","Generosity","DystopiaResidual","CountryCode"
Sweden,Western Europe,8,7.364,1.3317,1.2891,0.9109,0.6598,0.4384,0.3626,2.3712,SWE
Switzerland,Western Europe,1,7.587,1.3965,1.3495,0.9414,0.6656,0.4198,0.2968,2.5174,CHE
Syria,Middle East and Northern Africa,156,3.006,0.6632,0.4749,0.7219,0.1568,0.1891,0.4718,0.3286,SYR
Taiwan,Eastern Asia,38,6.298,1.291,1.0762,0.8753,0.3974,0.0813,0.2538,2.3232,TWN
Tajikistan,Central and Eastern Europe,106,4.786,0.3905,0.8556,0.5738,0.4722,0.1507,0.2297,2.114,TJK
Tanzania,Sub-Saharan Africa,146,3.781,0.2852,1.0027,0.3822,0.3288,0.0575,0.3438,1.3808,TZA
Thailand,Southeastern Asia,34,6.455,0.9669,1.265,0.7385,0.5566,0.0319,0.5763,2.3194,THA
Togo,Sub-Saharan Africa,158,2.839,0.2087,0.14,0.2844,0.3645,0.1073,0.1668,1.5673,TGO
Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.2118,1.1835,0.6148,0.5588,0.0114,0.3184,2.2688,TTO
Tunisia,Middle East and Northern Africa,107,4.739,0.8811,0.6043,0.7379,0.2627,0.0636,0.0643,2.1247,TUN
Turkey,Middle East and Northern Africa,76,5.332,1.061,0.9463,0.7317,0.2282,0.1575,0.1225,2.0853,TUR
Turkmenistan,Central and Eastern Europe,70,5.548,0.9585,1.2267,0.5389,0.4761,0.3084,0.1698,1.8698,TKM
Uganda,Sub-Saharan Africa,141,3.931,0.211,1.133,0.3386,0.4573,0.0727,0.2907,1.4277,UGA
Ukraine,Central and Eastern Europe,111,4.681,0.7991,1.2028,0.6739,0.2512,0.0296,0.1528,1.5714,UKR
United Arab Emirates,Middle East and Northern Africa,20,6.901,1.4273,1.1258,0.8092,0.6416,0.3858,0.2643,2.2474,ARE
United Kingdom,Western Europe,21,6.867,1.2664,1.2855,0.9094,0.5962,0.3207,0.5191,1.9699,GBR
United States,North America,15,7.119,1.3945,1.2471,0.8618,0.546,0.1589,0.401,2.5101,USA
Uruguay,Latin America and Caribbean,32,6.485,1.0617,1.2089,0.8116,0.6036,0.2456,0.2324,2.3214,URY
Uzbekistan,Central and Eastern Europe,44,6.003,0.6324,1.3404,0.5977,0.6582,0.3083,0.2284,2.2374,UZB
Venezuela,Latin America and Caribbean,23,6.81,1.0442,1.256,0.7205,0.4291,0.1107,0.0584,3.1913,VEN
Vietnam,Southeastern Asia,75,5.36,0.6322,0.9123,0.7468,0.5944,0.1044,0.1686,2.2017,VNM
Yemen,Middle East and Northern Africa,136,4.077,0.5465,0.6809,0.4006,0.3557,0.0785,0.0913,1.9231,YEM
Zambia,Sub-Saharan Africa,85,5.129,0.4704,0.9161,0.2992,0.4883,0.1247,0.1959,2.6343,ZMB
Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,1.0328,0.3348,0.2586,0.0808,0.1899,2.4419,ZWE
